"codigo_hs","product_name_en","nombre_producto_es","seccion_atlas","seccion_2_digitos","indice_de_complejidad_de_producto_icp","ranking_de_complejidad_producto","tendencia_mercado","potencial_exportador","fob_santiago_del_estero","vcr_santiago_del_estero","compatibilidad_con_santiago_del_estero","valor_estrategico_para_santiago_del_estero","indice_recuperacion_de_posiciones_santiago_del_estero","indice_oportunidades_cercanas_santiago_del_estero","indice_objetivos_factibles_santiago_del_estero","indice_apuestas_ambiciosas_santiago_del_estero","top_20_criterios_santiago_del_estero","empleo","empresas","tasa_fem"
"410729","Reptile leather","Las demas pieles depiladas de reptil, preparadas, excepto precurtido v","Agricultura"," VIII Pieles, cueros, peletería. Sillería y arnés. Artículos de viaje. Artículos de tripa animal","-1.25868","4087","Decreció / Decreció","352527.40437","732996.41406","46.93136","1.74565","-1.12656","0","","","","","s.d.","s.d.","0.06157"
"152010","Glycerol (glycerine), crude","Glicerol (glicerina), crudo","Agricultura"," III Grasas y aceites animales o vegetales y sus derivados","-0.08821","2576","Creció / Creció","-31322457.32514","696457.45833","23.19039","1.51630","0.12171","0","","","","","s.d.","s.d.","0.34836"
"20622","Bovine livers, frozen","Higados de bovinos, congelados.","Agricultura"," I Animales vivos; productos animales","-0.66166","3399","Decreció / Decreció","-31033072.50546","683479.01042","51.76080","3.90536","-0.91732","0","","","","","527","14","0.09596"
"50400","Animal guts and stomachs","Tripas, vejigas y estomagos de animales, excepto los de pescado, enter","Agricultura"," I Animales vivos; productos animales","-0.98005","3793","Creció mucho / Creció mucho","-3896140.41803","511456.73389","1.94219","2.39708","-0.10109","0","","","","","527","14","0.09596"
"20621","Bovine tongue, frozen","Lenguas de bovinos, congeladas.","Agricultura"," I Animales vivos; productos animales","-0.57572","3284","Decreció / Decreció","-19122584.75683","432972.62500","26.30732","5.08589","-1.41092","0","","","","","527","14","0.09596"
"880240","Fixed wing aircraft, >15,000kg","Aviones y demas vehiculos aereos, de peso en vacio, superior a 15000 k","Vehículos"," XVII Vehículos, aviones, buques y equipos de transporte asociados","0.79106","1123","Decreció mucho / Decreció mucho","820537893.81421","414610.51042","0.06126","0.65141","-0.47251","0","0.44059","0.27898","0.18056","","0","0","0.15363"
"71332","Adzuki beans, dried","Alubias adzuki, secas desvainadas,","Agricultura"," II Productos vegetales","-2.06147","4569","Se mantuvo / Decreció","-1052794.18579","382384.42708","51.90784","3.74343","-1.47193","0","","","","","1667","326","0.11081"
"71339","Beans nes, dried","Las demas alubias, secas desvainadas","Agricultura"," II Productos vegetales","-2.20742","4608","Creció / Se mantuvo","-2840051.92350","360408.44271","12.14472","5.24609","-1.63976","0","","","","","1667","326","0.11081"
"850213","Generating sets, diesel, >375kVA","Grupos electrogeno con motor de embolo de potencia superior a 375 kva","Electrónica"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","-0.51989","3224","Decreció mucho / Decreció mucho","15143789.68033","334366.83073","1.44338","0.33779","0.59662","0","","","","","s.d.","s.d.","0.14716"
"252010","Gypsum, anhydride","Yeso natural; anhidrita.","Minerales"," V Productos minerales","-1.59928","4371","Creció / Creció","3051977.92350","331987.98867","9.01005","1.57693","-1.17248","0","","","","","0","0","0.08673"
"292320","Lecithins and other phosphoaminolipids","Lecitinas y demas fosfoaminolipidos","Químicos"," VI Productos químicos y aliados","0.00125","2454","Creció / Creció","-61609862.15847","268493.21875","5.93332","1.69501","0.13367","0","","","","","14","11","0.34344"
"71340","Lentils, dried","Lentejas secas","Agricultura"," II Productos vegetales","-1.53904","4323","Decreció mucho / Decreció mucho","11395693.61475","265077.82292","2.66134","2.99555","-2.07177","0","","","","","1667","326","0.11081"
"151919","Industrial monocarboxylic fatty acids","Ácidos grasos monocarboxílicos industriales","Agricultura"," III Grasas y aceites animales o vegetales y sus derivados","-1.39017","4217","Creció mucho / Creció","-41084913.38525","222587.88997","1.06331","2.19809","-1.03970","0","","","","","s.d.","s.d.","0.14976"
"121490","Forage products, roots","Los demas productos forrajeros similares","Agricultura"," II Productos vegetales","-1.02607","3849","Creció mucho / Creció","3420930.08197","214949.47917","1.70143","2.25162","-0.65073","0","","","","","1667","326","0.11081"
"430219","Tanned furs, whole, nes","Las demas pieles enteras, curtidas o adobadas, sin ensamblar.","Agricultura"," VIII Pieles, cueros, peletería. Sillería y arnés. Artículos de viaje. Artículos de tripa animal","-0.43039","3108","Decreció / Decreció","-12024923.67760","211898.04513","7.20931","1.21937","0.36745","0","","","","","s.d.","s.d.","0.33945"
"120799","Oil seeds & oleaginous fruits, nes","Las demas semillas incluso quebrantados.","Agricultura"," II Productos vegetales","-1.25917","4090","Creció / Decreció","-7124997.90984","167526.07593","2.83402","2.49370","-0.55133","0","","","","","1667","326","0.11081"
"152090","Glycerol (glycerine)","Glicerol (glicerina)","Agricultura"," III Grasas y aceites animales o vegetales y sus derivados","-0.19584","2765","Creció mucho / Creció","-47871344.33333","160506.90885","2.38506","1.85555","-0.17290","0","","","","","s.d.","s.d.","0.14976"
"120991","Seed, vegetable, nes","Semillas de legumbres y hortalizas,","Agricultura"," II Productos vegetales","-0.62468","3357","Creció mucho / Creció mucho","-985039.62842","140843.59375","0.58944","2.38448","-0.15733","1","1.57520","1.04347","0.48838","Recuperación de posiciones, Trayectoria productiva","50","18","0.19753"
"310310","Superphosphates, > 10kg","Superfosfatos.","Químicos"," VI Productos químicos y aliados","-0.93562","3738","Decreció / Decreció","-9024057.36885","130976.23519","1.71145","1.62364","-0.97645","0","","","","","0","0","0.04194"
"120500","Rape or colza seeds","Semilla de navo o de colza, incluso quebrantada.","Agricultura"," II Productos vegetales","0.07683","2332","Decreció mucho / Decreció mucho","61295888.30055","122379.78174","0.24155","1.51580","-0.13890","0","1.04097","0.72081","0.41144","","1667","326","0.11081"
"100110","Durum wheat","Trigo duro","Agricultura"," II Productos vegetales","-0.53253","3240","Decreció mucho / Decreció mucho","-15704485.99180","120271.41453","0.33941","2.40730","-0.50410","1","1.53104","0.94734","0.36222","Recuperación de posiciones","1667","326","0.11081"
"410431","Bovine leather, full","Los demas cueros y pieles de bovino y equino con la flor, incluso divi","Agricultura"," VIII Pieles, cueros, peletería. Sillería y arnés. Artículos de viaje. Artículos de tripa animal","-0.70197","3445","Decreció mucho / Decreció mucho","-360998926.42076","114799.76012","0.28167","1.33379","0.13857","0","0.89117","0.61010","0.28700","","s.d.","s.d.","0.06157"
"847432","Machines for mixing minerals with bitumen","Maquinas para mezclar materias minerales con asfalto.","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","-0.79488","3554","Decreció / Decreció","3562970.32514","101175.33333","3.42921","1.25302","0.31849","0","","","","","s.d.","s.d.","0.08398"
"151790","Edible mix, preps of animal & veg fat, oil","Las demas preparaciones alimenticias de grasas o de aceites, animales","Agricultura"," III Grasas y aceites animales o vegetales y sus derivados","-1.12346","3958","Creció mucho / Creció","-75074348.29508","95823.56364","0.49775","1.88906","-0.74246","0","1.06150","0.51615","-0.04825","Trayectoria productiva","218","8","0.15062"
"252890","Natural borates, nes","Los demas boratos naturales y sus concentrados","Minerales"," V Productos minerales","-0.81458","3580","Creció / Se mantuvo","-12253960.06557","95794.50781","5.02492","2.71810","-2.37923","0","","","","","s.d.","s.d.","0.10349"
"120925","Seed, rye grass, for sowing","Semilla forrajera de ballico, para siembra.","Agricultura"," II Productos vegetales","0.79607","1116","Creció / Creció","-6993980.48087","95025.49479","4.60417","1.28569","0.41648","0","","","","","1667","326","0.11081"
"440200","Wood charcoal","Carbon vegetal (incluido el de cascaras o de huesos de frutas), aunque","Agricultura"," IX Productos de madera, carbón de madera, o corcho. Fabricaciones de paja u otros materiales trenzados","-1.67588","4408","Creció mucho / Creció","-9065233.19399","94003.35547","1.58394","2.02669","-1.05311","0","","","","","s.d.","s.d.","0.14976"
"440610","Railwar, non-impregnated wood","Traviesas de madera para vias ferreas, sin impregnar","Agricultura"," IX Productos de madera, carbón de madera, o corcho. Fabricaciones de paja u otros materiales trenzados","-0.85325","3639","Creció / Creció","854536.50546","90666.66667","12.22427","1.13213","-0.56079","0","","","","","41","11","0.04618"
"120929","Seed, forage plants, nes","Semillas de forrajeras","Agricultura"," II Productos vegetales","-0.95907","3767","Creció / Decreció","-3807421.63661","79612.37760","2.69667","3.52805","-0.42083","0","","","","","1667","326","0.11081"
"230250","Bran nes","Salvados, moyuelos y demas residuos del tratamiento de leguminosas.","Agricultura"," IV Alimentos preparados, bebidas y tabaco","-1.81377","4486","Decreció / Decreció","-224806048.45628","62899.75423","3.58077","5.23835","-2.38011","0","","","","","13","4","0.12697"
"250810","Bentonite","Bentonita.","Minerales"," V Productos minerales","-0.57308","3279","Creció / Creció","-4936053.22951","60963.34375","1.48325","1.18999","0.37311","0","","","","","0","0","0.08673"
"410790","Leather, nes","Cueros y pieles depilados de los demas animales sin pelo, preparados","Agricultura"," VIII Pieles, cueros, peletería. Sillería y arnés. Artículos de viaje. Artículos de tripa animal","-1.44630","4256","Decreció / Decreció","1058061.87705","58990.78326","4.46089","1.95357","-0.46920","0","","","","","s.d.","s.d.","0.06157"
"151800","Processed animal, veg oils, industrial preps","Grasas y aceites de animales o vegetales y sus fracciones, cocidos, ox","Agricultura"," III Grasas y aceites animales o vegetales y sus derivados","-0.33797","2964","Creció mucho / Creció mucho","-32833268.71858","56739.17928","0.36839","1.21706","0.08044","0","0.83423","0.58599","0.31683","Trayectoria productiva","s.d.","s.d.","0.26468"
"732690","Articles of iron/steel, nes","Las demas manufacturas de hierro o acero","Metales"," XV Metales comunes y sus manufacturas","0.79542","1120","Creció mucho / Creció mucho","185759811.15027","56114.60864","0.02703","-0.43792","1.93211","0","0.15942","0.57659","0.93693","","27","7","0.11287"
"50590","Feathers, not for stuffing","Las demas pieles y otros partes de aves, en bruto limpiadas, desinfect","Agricultura"," I Animales vivos; productos animales","-0.29746","2914","Decreció / Decreció","-6176442.11202","51076.74740","5.97608","2.45555","-0.01720","0","","","","","527","14","0.09596"
"120740","Sesamum seeds","Semilla de sesamo (ajonjoli), incluso quebrantada.","Agricultura"," II Productos vegetales","-2.74887","4659","Decreció / Decreció","11578694.30874","47287.05794","0.40078","3.88927","-2.00497","0","2.04661","0.83056","-0.42267","Trayectoria productiva","1667","326","0.11081"
"570291","Carpets, wool/hair, woven, madeup","Las demas alfombras y revestimientos sin aterciopelar confeccionados d","Textiles"," XI Textiles y artículos textiles","-0.49282","3184","Decreció / Decreció","466291.26230","44123.66667","10.40128","-0.02288","0.32119","0","","","","","0","0","0.20700"
"230910","Dog or cat food","Alimentos para perros o gatos, acondicionados para la venta al por men","Agricultura"," IV Alimentos preparados, bebidas y tabaco","0.27801","1981","Creció mucho / Creció mucho","-4304550.83333","41036.69531","0.05894","0.98734","0.87096","0","0.89313","0.84021","0.75763","","s.d.","s.d.","0.15719"
