Código HS 1992,Product Name EN,Nombre Producto ES,Sección Atlas,Sección 2 dígitos,Índice de complejidad de producto (ICP),Ranking de complejidad producto,Tendencia mercado 2014-2019 (nominal / share),Potencial exportador,FOB Jujuy,VCR Jujuy,Compatibilidad con Jujuy,Valor estratégico para Jujuy,Indice Recuperacion de posiciones - Jujuy,Indice Oportunidades cercanas - Jujuy,Indice Objetivos factibles - Jujuy,Indice Apuestas ambiciosas - Jujuy,Top 20 criterios Jujuy,Empleo 2021,Empresas 2020,Tasa fem
10111,"Horses, pure-bred",Caballos reproductores de raza pura.,Agricultura, I Animales vivos; productos animales,-0.131425173799098,2648,Creció / Se mantuvo,4238686.86612022,21.3593597412109,0.00046087980733836,0.900329182184181,-0.585309060418084,0,0.5000260980654,0.225592643875896,-0.0261466159826582,,78,24,0.100504803248634
10119,"Horses, not pure-bred",Los demas caballos vivos.,Agricultura, I Animales vivos; productos animales,0.257479788150311,2016,Creció mucho / Creció mucho,-10367234.863388,45.526850382487,0.00121669225498022,0.490392665611635,0.511857884010024,0,0.47139442154518,0.462968560431873,0.441823794525579,,78,24,0.100504803248634
10120,Other equine,"Asnos, mulos y burdeganos, vivos.",Agricultura, I Animales vivos; productos animales,-0.606761100630633,3328,Decreció / Decreció,24348.8879781421,0.0,0.0,0.574065624508944,-0.768389362543827,0,0.187491954584432,-0.0729176297304625,-0.325245800949697,,78,24,0.100504803248634
10210,"Bovine, pure-bred","Bovinos reproductores de raza pura, vivos.",Agricultura, I Animales vivos; productos animales,-0.152845716927052,2685,Decreció / Decreció,7674551.44535519,1.1281992594401,3.24757949438569e-05,0.875637380145053,0.107747049725945,0,0.619211004354021,0.45260329993755,0.272965957188428,,78,24,0.100504803248634
10290,"Bovine, not pure-bred",Los demas bovinos vivos.,Agricultura, I Animales vivos; productos animales,-0.467837521587586,3145,Creció / Decreció,54545867.795082,0.0,0.0,1.7163867299952,-0.316332494710939,0,1.09142045989569,0.677301363610632,0.25560701598174,,78,24,0.100504803248634
10310,"Swine, pure-bred","Porcinos reproductores de raza pura, vivos.",Agricultura, I Animales vivos; productos animales,0.428743101585716,1735,Creció / Creció,1694539.52732241,0.0,0.0,-0.467584579368946,-0.561854811177323,0,-0.396805857635155,-0.366130008358679,-0.28592426344405,,188,11,0.0968090692352879
10391,"Swine < 50 kg, not pure-bred","Los demas porcinos de peso inferior a 50 kg., vivos.",Agricultura, I Animales vivos; productos animales,0.933454126099224,901,Creció / Creció,13490671.8688525,0.0,0.0,-0.371658947164579,-1.5919369119695,0,-0.485203232799183,-0.602989273856731,-0.594505763010843,,188,11,0.0968090692352879
10392,"Swine > 50 kg, not pure-bred","Los demas porcinos de peso superior o igual a 50 kg., vivos.",Agricultura, I Animales vivos; productos animales,0.444843651687953,1705,Decreció mucho / Decreció mucho,14286729.15847,0.194474061330159,3.48589179616419e-06,-0.174033211540674,0.986954270504876,0,0.120051971191298,0.325143936659562,0.50313037118698,,188,11,0.0968090692352879
10410,Sheep,Ovinos vivos.,Agricultura, I Animales vivos; productos animales,-1.08322475399011,3923,Decreció / Decreció,10019052.8934426,0.0152546229461829,3.79172444793503e-07,1.72640961610863,-1.24304250593472,0,0.851555754690089,0.26565621787865,-0.312252431335559,,78,24,0.100504803248634
10420,Goats,Caprinos vivos.,Agricultura, I Animales vivos; productos animales,-1.52979119794806,4317,Decreció / Decreció,912501.084699454,0.0,0.0,2.24230055234472,-1.6013818506988,0,1.09635489670674,0.331197948735572,-0.430379466598058,,78,24,0.100504803248634
