"codigo_hs","product_name_en","nombre_producto_es","seccion_atlas","seccion_2_digitos","indice_de_complejidad_de_producto_icp","ranking_de_complejidad_producto","tendencia_mercado","potencial_exportador","fob_salta","vcr_salta","compatibilidad_con_salta","valor_estrategico_para_salta","indice_recuperacion_de_posiciones_salta","indice_oportunidades_cercanas_salta","indice_objetivos_factibles_salta","indice_apuestas_ambiciosas_salta","top_20_criterios_salta","empleo","empresas","tasa_fem"
"10111","Horses, pure-bred","Caballos reproductores de raza pura.","Agricultura"," I Animales vivos; productos animales","-0.13143","2648","Creció / Se mantuvo","4238686.86612","0.00000","0.00000","1.22165","-0.60228","0","0.72155","0.38031","0.06261","","1880","213","0.10050"
"30221","Halibut","Halibut fresco o refrigerads excluidos filetes, higados, huevas.","Agricultura"," I Animales vivos; productos animales","1.22749","503","Creció / Creció","1302024.09290","0.00000","0.00000","0.07102","-1.56941","0","-0.14142","-0.32966","-0.37806","","s.d.","s.d.","0.09197"
"30222","Pollock","Sollas frescas o refrigeradas, excluidos filete, higados, huevas y lec","Agricultura"," I Animales vivos; productos animales","0.96612","862","Se mantuvo / Se mantuvo","465088.20219","0.00000","0.00000","-0.66499","-0.71299","0","-0.51148","-0.43712","-0.27881","","s.d.","s.d.","0.09197"
"30223","Sole","Lenguados frescos o refrigerados, excluidos filetes, higado, huevas, l","Agricultura"," I Animales vivos; productos animales","-0.82121","3594","Decreció / Decreció","1261264.75410","0.00000","0.00000","0.57333","-0.39345","0","0.24052","0.02577","-0.21036","","s.d.","s.d.","0.09197"
"30229","Flatfish","Los demas pescados planos, frescos o refrigerados, excluidos: filetes,","Agricultura"," I Animales vivos; productos animales","-1.45183","4263","Creció / Creció","2932782.13388","0.00000","0.00000","1.19354","-0.57495","0","0.57531","0.17776","-0.26362","","s.d.","s.d.","0.09197"
"30231","Albacore","Albacoras o atunes blancos, frescos o refrigerados excl. higados, huev","Agricultura"," I Animales vivos; productos animales","-1.35043","4179","Decreció / Se mantuvo","435462.18306","0.00000","0.00000","0.63733","-1.05650","0","0.09979","-0.25368","-0.62184","","s.d.","s.d.","0.09197"
"30232","Yellowfin tuna","Atunes de aleta amarilla, frescos o refrigerados, excluido higados, hu","Agricultura"," I Animales vivos; productos animales","-1.67290","4407","Decreció / Decreció","1589587.96175","0.00000","0.00000","1.58856","-1.14616","0","0.71547","0.14219","-0.45743","","s.d.","s.d.","0.09197"
"30233","Bonito","Listados o bonitos de vientre rayado frescos o refrigerados, excluido","Agricultura"," I Animales vivos; productos animales","-0.95114","3758","Se mantuvo / Se mantuvo","72103.21585","0.00000","0.00000","0.41770","-0.43449","0","0.11038","-0.08589","-0.30800","","s.d.","s.d.","0.09197"
"30239","Tuna, nes","Los demas atunes, frescos o refrigerados, excluido los higados, huevas","Agricultura"," I Animales vivos; productos animales","-1.46881","4275","Decreció / Decreció","2517857.79781","0.00000","0.00000","1.38898","-0.92802","0","0.63980","0.14936","-0.36812","","s.d.","s.d.","0.09197"
"30240","Herring","Arenques frescos o refrigerados, excludos filetes, higados, huevas y l","Agricultura"," I Animales vivos; productos animales","0.15246","2226","Decreció / Decreció","864529.68033","0.00000","0.00000","0.20881","-0.45430","0","0.07056","-0.03173","-0.10367","","s.d.","s.d.","0.09197"
"30250","Cod","Bacalaos frescos o refrigerados, excluidos filetes, higados, huevas y","Agricultura"," I Animales vivos; productos animales","0.04927","2383","Creció / Creció","4450459.12295","0.00000","0.00000","0.06969","-1.30908","0","-0.20811","-0.41594","-0.55586","","s.d.","s.d.","0.09197"
"30261","Sardines","Sardinas, sardinelas y espadines frescos o refrig. excluido filete, hi","Agricultura"," I Animales vivos; productos animales","-1.33325","4162","Decreció / Decreció","655563.39071","0.00000","0.00000","1.02815","-0.65205","0","0.45597","0.08587","-0.31829","","s.d.","s.d.","0.09197"
"30262","Haddock","Eglefinos frescos o refrigerados, excluidos filetes, higados, huevas y","Agricultura"," I Animales vivos; productos animales","1.13484","617","Decreció / Decreció","688277.13661","0.00000","0.00000","-0.04368","-2.49554","0","-0.41620","-0.72505","-0.85239","","s.d.","s.d.","0.09197"
"30263","Coalfish","Carboneros frescos o refrigerados, excluidos filetes, higados, huevas","Agricultura"," I Animales vivos; productos animales","1.30790","408","Creció / Creció","650356.42350","0.00000","0.00000","-0.82183","-1.75945","0","-0.79638","-0.83054","-0.71133","","s.d.","s.d.","0.09197"
"30264","Mackerel","Caballas frescas o refrigeradas, excluidos filetes, higados, huevas y","Agricultura"," I Animales vivos; productos animales","-1.04818","3878","Decreció / Decreció","1577390.29781","0.00000","0.00000","0.75740","-0.75229","0","0.27490","-0.04183","-0.37336","","s.d.","s.d.","0.09197"
"30265","Shark","Escualos.","Agricultura"," I Animales vivos; productos animales","-0.67736","3414","Decreció / Decreció","256439.71585","0.00000","0.00000","0.65455","-0.41737","0","0.30698","0.07959","-0.16079","","s.d.","s.d.","0.09197"
"30266","Eels","Anguilas(anguilla spp)frescos o refrigerados, excepto higados, huevas","Agricultura"," I Animales vivos; productos animales","0.39570","1789","Se mantuvo / Se mantuvo","91004.06831","0.00000","0.00000","-0.63689","0.75626","0","-0.25500","0.00560","0.24817","","s.d.","s.d.","0.09197"
"30269","Whole fish, nes","Los demas pescados frescos o refrigerados, excluye filetes, higados, h","Agricultura"," I Animales vivos; productos animales","-1.80535","4482","Creció mucho / Creció","20177505.30874","13.75639","0.00008","2.18216","-1.13522","0","1.11993","0.42295","-0.30754","","s.d.","s.d.","0.09197"
"30270","Fish roes and livers","Higados, huevas y lechas fresca o refrigeradas","Agricultura"," I Animales vivos; productos animales","-0.41472","3084","Creció / Se mantuvo","377695.64208","0.00000","0.00000","0.43869","0.14456","0","0.29452","0.20773","0.09298","","s.d.","s.d.","0.32462"
"30310","Pacific salmon, frozen","Salmones del pacifico congelado, excluidos filetes, higados, huevas y","Agricultura"," I Animales vivos; productos animales","0.32706","1907","Creció mucho / Creció mucho","14178271.33333","0.00000","0.00000","0.87587","-2.72708","0","0.10040","-0.46749","-0.88266","","s.d.","s.d.","0.32462"
"30321","Trout, frozen","Truchas congeladas, excluidos los filetes, higados, huevas y lechas.","Agricultura"," I Animales vivos; productos animales","-0.91561","3717","Decreció / Decreció","2442253.30328","0.03938","0.00000","1.04129","-1.95218","0","0.24690","-0.29996","-0.79500","","s.d.","s.d.","0.32462"
