"codigo_hs","product_name_en","nombre_producto_es","seccion_atlas","seccion_2_digitos","indice_de_complejidad_de_producto_icp","ranking_de_complejidad_producto","tendencia_mercado","potencial_exportador","fob_neuquen","vcr_neuquen","compatibilidad_con_neuquen","valor_estrategico_para_neuquen","indice_recuperacion_de_posiciones_neuquen","indice_oportunidades_cercanas_neuquen","indice_objetivos_factibles_neuquen","indice_apuestas_ambiciosas_neuquen","top_20_criterios_neuquen","empleo","empresas","tasa_fem"
"10111","Horses, pure-bred","Caballos reproductores de raza pura.","Agricultura"," I Animales vivos; productos animales","-0.13143","2648","Creció / Se mantuvo","4238686.86612","0.00000","0.00000","1.12426","-0.57369","0","0.65910","0.44863","0.04626","","744","129","0.10050"
"20312","Ham and pork shoulder","Jamones, paletas y sus trozos, sin deshuesar, frescos o refrigerados.","Agricultura"," I Animales vivos; productos animales","1.36168","350","Decreció mucho / Decreció mucho","28667260.19399","0.00000","0.00000","0.53239","0.89729","0","0.68830","0.78947","0.90392","","205","17","0.09596"
"20319","Other pork","Las demas carnes de porcinos, frescas o refrigeradas.","Agricultura"," I Animales vivos; productos animales","1.20339","542","Creció mucho / Decreció","69969963.36885","0.00000","0.00000","0.77868","0.70605","0","0.80663","0.84547","0.85217","","205","17","0.09596"
"20321","Swine carcasses, frozen","Carne de porcinos en canales o medios canales, congelada.","Agricultura"," I Animales vivos; productos animales","-0.11943","2626","Creció mucho / Creció","-1454760.85246","0.00000","0.00000","-0.24361","-0.24733","0","-0.23193","-0.21970","-0.21424","","205","17","0.09596"
"20322","Ham and pork shoulder, frozen","Jamones, paletas y sus trozos, congelados sin deshuesar","Agricultura"," I Animales vivos; productos animales","0.73039","1234","Creció mucho / Creció","4301511.52186","0.00000","0.00000","0.87370","0.28754","0","0.74213","0.69850","0.57410","","205","17","0.09596"
"20329","Other pork, frozen","Las demas carnes de porcino, congeladas.","Agricultura"," I Animales vivos; productos animales","0.69938","1279","Creció mucho / Creció mucho","82560528.31967","0.00000","0.00000","0.85454","0.65110","0","0.79833","0.77265","0.72420","","205","17","0.09596"
"20410","Lamb carcasses","Canales o medios canales de cordero, frescos o refrigerados.","Agricultura"," I Animales vivos; productos animales","-0.98028","3794","Creció / Creció","6572914.93169","0.00000","0.00000","1.13146","-1.02996","0","0.48800","0.16875","-0.36912","","205","17","0.09596"
"20421","Sheep carcasses","Las demas carnes de ovinos, en canales o medios canales, frescas o ref","Agricultura"," I Animales vivos; productos animales","-1.15139","3986","Creció / Se mantuvo","2672355.50273","0.00000","0.00000","1.28513","-0.97365","0","0.58972","0.23313","-0.34045","","205","17","0.09596"
"20422","Mutton, bone-in","Los demas cortes de ovinos, sin deshuesar, frescos o refrigerados.","Agricultura"," I Animales vivos; productos animales","-1.09907","3938","Creció / Decreció","7565084.90710","0.00000","0.00000","1.80622","-2.75028","0","0.60439","0.08604","-0.97053","","205","17","0.09596"
"20423","Mutton, boneless","Las demas carnes de ovinos, deshuesadas, frescas o refrigeradas.","Agricultura"," I Animales vivos; productos animales","0.32535","1911","Creció / Se mantuvo","3357989.32240","0.00000","0.00000","1.54022","-2.97531","0","0.51563","0.16836","-0.79549","","205","17","0.09596"
"20430","Lamb carcasses, frozen","Carne de cordero congelada, en canales o medios canales","Agricultura"," I Animales vivos; productos animales","-0.93083","3733","Decreció / Decreció","-2257556.56557","0.00000","0.00000","1.55589","-1.22551","0","0.75094","0.36320","-0.31742","","205","17","0.09596"
"20441","Sheep carcasses, frozen","Las demas carnes de ovinos congelada en canales o medios canales.","Agricultura"," I Animales vivos; productos animales","-1.68771","4414","Decreció / Decreció","1151822.68033","0.00000","0.00000","1.21417","-2.12413","0","0.25632","-0.20079","-1.01354","","205","17","0.09596"
"20442","Mutton, bone-in, frozen","Los demas cortes (trozos) de carne de ovinos congelada,sin deshuesar","Agricultura"," I Animales vivos; productos animales","-1.59564","4367","Creció mucho / Creció mucho","11907148.97541","0.00000","0.00000","2.02740","-3.30501","0","0.59861","-0.03031","-1.27795","","205","17","0.09596"
"20443","Mutton, boneless, frozen","Las demas carnes de la especie ovina deshuesada, congelada","Agricultura"," I Animales vivos; productos animales","-0.79864","3558","Creció / Creció","5408708.95902","0.00000","0.00000","-0.12703","-2.07972","0","-0.58473","-0.74953","-1.17364","","205","17","0.09596"
"20450","Goat meat","Carne de animales de la especie caprina, fresca, refrigerada o congela","Agricultura"," I Animales vivos; productos animales","-1.76381","4453","Decreció / Decreció","1941706.41530","0.00000","0.00000","0.24484","-1.68571","0","-0.34213","-0.63953","-1.12607","","205","17","0.09596"
"20500","Horse meat","Carne de animales de las especies caballar, asnal o mular, fresca, ref","Agricultura"," I Animales vivos; productos animales","-0.62320","3355","Creció / Creció","-55253555.09016","0.00000","0.00000","1.00612","-0.40210","0","0.56154","0.32820","-0.03491","","205","17","0.09596"
"20610","Bovine offal","Despojos comestibles de animales de la especie bovina, frescos o refri","Agricultura"," I Animales vivos; productos animales","-0.23061","2817","Creció / Creció","5279473.59563","0.07378","0.00001","1.23601","-0.13450","0","0.81525","0.60006","0.25263","","205","17","0.09596"
"20621","Bovine tongue, frozen","Lenguas de bovinos, congeladas.","Agricultura"," I Animales vivos; productos animales","-0.57572","3284","Decreció / Decreció","-19122584.75683","2.66985","0.00064","0.88625","-1.35944","0","0.29092","0.03244","-0.48980","","205","17","0.09596"
"20622","Bovine livers, frozen","Higados de bovinos, congelados.","Agricultura"," I Animales vivos; productos animales","-0.66166","3399","Decreció / Decreció","-31033072.50546","6.76393","0.00201","1.36206","-0.87853","0","0.71157","0.39717","-0.15214","","205","17","0.09596"
"20629","Bovine offal, frozen","Los demas despojos comestibles de bovinos, congelados.","Agricultura"," I Animales vivos; productos animales","-0.81558","3582","Creció mucho / Creció","-97090577.30874","18.59791","0.00062","0.29305","-0.87515","0","-0.05145","-0.22073","-0.50980","","205","17","0.09596"
"20630","Swine offal","Despojos comestibles de porcinos, frescos o refrigerados.","Agricultura"," I Animales vivos; productos animales","1.56506","188","Creció / Creció","3180403.67486","0.00000","0.00000","1.07707","1.42928","0","1.19631","1.26272","1.35756","","205","17","0.09596"
"20641","Swine livers, frozen","Higados de porcinos, congelados.","Agricultura"," I Animales vivos; productos animales","0.47571","1662","Se mantuvo / Se mantuvo","214974.15301","0.00000","0.00000","0.74860","-0.01030","0","0.56953","0.50430","0.33887","","205","17","0.09596"
"20649","Swine offal, frozen","Los demas despojos comestibles de la especie porcina, congelados","Agricultura"," I Animales vivos; productos animales","0.89747","959","Creció mucho / Creció","20981319.89891","0.00000","0.00000","0.46941","0.99484","0","0.61730","0.68638","0.81287","","205","17","0.09596"
"20680","Sheep and equine offal","Los demas despojos comestibles de animales, frescos o refrigerados.","Agricultura"," I Animales vivos; productos animales","-0.94238","3745","Se mantuvo / Se mantuvo","-15313.84973","0.00000","0.00000","1.16923","-0.56501","0","0.61122","0.31335","-0.13908","","205","17","0.09596"
"20690","Sheep & equine offal, frozen","Los demas despojos comestibles de animales congelados.","Agricultura"," I Animales vivos; productos animales","-1.23473","4063","Decreció / Decreció","-359812.36066","0.00000","0.00000","1.14089","-1.08763","0","0.45762","0.10863","-0.45585","","205","17","0.09596"
"20710","Whole poultry","Aves de corral enteras","Agricultura"," I Animales vivos; productos animales","0.20397","2128","Creció / Decreció","8657779.37432","20589.89974","1.23342","0.48194","0.97298","0","","","","","205","17","0.09596"
"20721","Whole domestic fowls, frozen","Aves domésticas enteras, congeladas","Agricultura"," I Animales vivos; productos animales","-0.93420","3736","Decreció mucho / Decreció mucho","-56125460.50820","134704.24479","3.58303","1.20129","-1.15290","0","","","","","205","17","0.09596"
"20722","Whole turkey, frozen","Pavo entero, congelado","Agricultura"," I Animales vivos; productos animales","0.06280","2352","Decreció / Decreció","627288.99180","0.00000","0.00000","0.74016","-0.40813","0","0.44277","0.31762","0.05409","","205","17","0.09596"
"20723","Whole duck, frozen","Pato entero, congelado","Agricultura"," I Animales vivos; productos animales","0.89005","967","Decreció / Decreció","1671738.96175","0.00000","0.00000","0.33687","0.86096","0","0.49701","0.57853","0.71101","","205","17","0.09596"
"20731","Fatty livers of geese, ducks","Hígados grasos de gansos, patos","Agricultura"," I Animales vivos; productos animales","0.32551","1910","Decreció / Decreció","421870.10109","0.00000","0.00000","-0.53358","-2.50058","0","-0.84107","-0.85351","-1.20396","","205","17","0.09596"
"20739","Other poultry meat","Otra carne de aves de corral","Agricultura"," I Animales vivos; productos animales","0.81238","1086","Creció mucho / Creció","46578957.70492","0.00000","0.00000","0.74128","1.44028","0","0.88819","0.93025","1.07361","","205","17","0.09596"
"20741","Domestic fowl meat, frozen","Carne de ave doméstica, congelada","Agricultura"," I Animales vivos; productos animales","-0.16375","2710","Creció mucho / Creció","-119950484.51913","131191.93750","0.77308","0.31522","-0.09564","0","0.18515","0.11671","0.01059","","205","17","0.09596"
"20742","Turkey meat, frozen","Carne de pavo, congelada","Agricultura"," I Animales vivos; productos animales","0.12999","2262","Decreció / Decreció","6028205.30328","0.00000","0.00000","0.55135","0.74876","0","0.54869","0.51643","0.53484","","205","17","0.09596"
"20743","Duck meat, frozen","Carne de pato, congelada","Agricultura"," I Animales vivos; productos animales","0.60687","1441","Se mantuvo / Decreció","3893116.51366","0.00000","0.00000","-1.77546","-1.36466","0","-1.45507","-1.19629","-0.99502","","205","17","0.09596"
"20810","Rabbit meat and offal","Carne de conejo o liebre refrigerada o congelada","Agricultura"," I Animales vivos; productos animales","0.41312","1757","Decreció / Decreció","-4273833.32787","0.00000","0.00000","-0.79800","0.85655","0","-0.34598","-0.14214","0.24933","","205","17","0.09596"
"20890","Meat and offal, nes","Las demas carnes y despojos comestibles, frescas, refrigeradas o conge","Agricultura"," I Animales vivos; productos animales","-0.20330","2778","Decreció / Decreció","3566179.67213","0.00000","0.00000","1.00725","0.46613","0","0.77797","0.62986","0.46111","","205","17","0.09596"
"20900","Pig and poultry fat","Tocino sin partes magras y grasa sin fundir de cerdo o de ave, frescos","Agricultura"," I Animales vivos; productos animales","0.58726","1464","Creció / Creció","3055075.88525","0.00000","0.00000","1.02184","1.23445","0","1.02091","0.98808","1.00887","","205","17","0.09596"
"21011","Cured pork shoulders and ham","Jamones, paletas y sus trozos sin deshuesar, salados o en salmuera, se","Agricultura"," I Animales vivos; productos animales","0.19295","2157","Creció / Se mantuvo","2329832.84153","0.00000","0.00000","0.18408","0.52449","0","0.25305","0.27096","0.33948","","205","17","0.09596"
"21012","Cured swine bellies","Panceta y sus trozos, salados o en salmuera, secos o ahumados.","Agricultura"," I Animales vivos; productos animales","1.11451","641","Creció / Creció","4448351.76776","0.00000","0.00000","0.48565","1.20031","0","0.69147","0.79009","0.96446","","205","17","0.09596"
"21019","Cured pork","Las demas carnes de porcinos saladas o en salmuera, secas o ahumadas.","Agricultura"," I Animales vivos; productos animales","0.84159","1043","Decreció / Decreció","17653033.74317","0.00000","0.00000","0.19024","0.48946","0","0.31522","0.39532","0.48773","","205","17","0.09596"
"21020","Cured beef","Carne de bovinos salada o en salmuera, seca o ahumada.","Agricultura"," I Animales vivos; productos animales","-0.14461","2671","Creció / Creció","1941828.68579","0.00000","0.00000","0.75815","0.05488","0","0.52722","0.40178","0.21599","","205","17","0.09596"
"21090","Cured meat and offal","Los demas, incluidos la harina y el polvo comestible, de carne o despo","Agricultura"," I Animales vivos; productos animales","-0.05014","2525","Decreció mucho / Decreció mucho","6099405.03279","0.00000","0.00000","-0.37883","-1.20180","0","-0.51055","-0.51883","-0.66699","","205","17","0.09596"
"30110","Live ornamental fish","Peces ornamentales, vivos.","Agricultura"," I Animales vivos; productos animales","-1.07092","3907","Creció / Se mantuvo","2083891.56284","0.00000","0.00000","0.30299","-0.59076","0","-0.01315","-0.19523","-0.44267","","s.d.","s.d.","0.09197"
"30191","Live trout","Truchas, vivas.","Agricultura"," I Animales vivos; productos animales","-0.22819","2808","Creció / Creció","882861.87432","0.00000","0.00000","0.94177","-0.23948","0","0.58852","0.41247","0.11772","","s.d.","s.d.","0.09197"
"30192","Live eels","Anguilas vivas.","Agricultura"," I Animales vivos; productos animales","-0.76848","3520","Creció mucho / Creció","3887181.19672","0.00000","0.00000","-1.07959","-0.72936","0","-0.97843","-0.92981","-0.84421","","s.d.","s.d.","0.09197"
"30193","Live carp","Carpas vivas.","Agricultura"," I Animales vivos; productos animales","0.21223","2118","Decreció / Decreció","1213960.52732","0.00000","0.00000","-0.95766","-0.77046","0","-0.80323","-0.67688","-0.58095","","s.d.","s.d.","0.09197"
"30199","Other live fish","Los demas peces vivos.","Agricultura"," I Animales vivos; productos animales","-1.25117","4080","Creció / Decreció","5396004.42896","0.00000","0.00000","0.72992","-0.72688","0","0.24045","-0.03050","-0.42091","","s.d.","s.d.","0.09197"
"30211","Trout","Truchas frescas o refrigeradas, excluidos filete, higado, huevas, lech","Agricultura"," I Animales vivos; productos animales","-0.33959","2966","Creció / Creció","3877227.02732","0.00000","0.00000","1.34566","0.11597","0","0.93120","0.70119","0.37099","","s.d.","s.d.","0.09197"
"30212","Salmon","Salmones del pacifico, atlantico y danubio, fresco o refrigerado.","Agricultura"," I Animales vivos; productos animales","0.77249","1156","Creció mucho / Creció mucho","100694279.09290","0.00000","0.00000","2.47010","-1.41769","0","1.52278","1.15863","0.29619","Oportunidades cercanas","s.d.","s.d.","0.09197"
"30219","Salmonids, nes","Los demas salmonidos, frescos o refrigerados, excluido filete, higados","Agricultura"," I Animales vivos; productos animales","-1.32227","4153","Decreció / Decreció","1468895.89344","0.00000","0.00000","1.08998","-0.46078","0","0.53860","0.21984","-0.21093","","s.d.","s.d.","0.09197"
"30221","Halibut","Halibut fresco o refrigerads excluidos filetes, higados, huevas.","Agricultura"," I Animales vivos; productos animales","1.22749","503","Creció / Creció","1302024.09290","0.00000","0.00000","1.88649","-1.57765","0","1.12776","0.88865","0.16287","","s.d.","s.d.","0.09197"
