"codigo_hs","product_name_en","nombre_producto_es","seccion_atlas","seccion_2_digitos","indice_de_complejidad_de_producto_icp_","ranking_de_complejidad_producto","tendencia_mercado","potencial_exportador","fob_santa_fe","vcr_santa_fe","compatibilidad_con_santa_fe","valor_estrategico_para_santa_fe","indice_recuperacion_de_posiciones_santa_fe","indice_oportunidades_cercanas_santa_fe","indice_objetivos_factibles_santa_fe","indice_apuestas_ambiciosas_santa_fe","top_20_criterios_santa_fe","empleo","empresas","tasa_fem"
"10111","Horses, pure-bred","Caballos reproductores de raza pura.","Agricultura"," I Animales vivos; productos animales","-0.131425","2648","Creció / Se mantuvo","4238686.866120","235527.263743","0.180429","2.382639","-0.619258","0","1.530853","1.129352","0.403269","","8919","2739","0.100505"
"20312","Ham and pork shoulder","Jamones, paletas y sus trozos, sin deshuesar, frescos o refrigerados.","Agricultura"," I Animales vivos; productos animales","1.361683","350","Decreció mucho / Decreció mucho","28667260.193989","0.000000","0.000000","0.977788","0.856259","0","0.991872","1.024185","1.019074","","15411","150","0.095963"
"20319","Other pork","Las demas carnes de porcinos, frescas o refrigeradas.","Agricultura"," I Animales vivos; productos animales","1.203393","542","Creció mucho / Decreció","69969963.368852","0.000000","0.000000","1.045287","0.670961","0","0.986233","0.983327","0.916367","","15411","150","0.095963"
"20321","Swine carcasses, frozen","Carne de porcinos en canales o medios canales, congelada.","Agricultura"," I Animales vivos; productos animales","-0.119425","2626","Creció mucho / Creció","-1454760.852459","1540204.250000","6.190415","1.744811","-0.314974","0","","","","","15411","150","0.095963"
"20322","Ham and pork shoulder, frozen","Jamones, paletas y sus trozos, congelados sin deshuesar","Agricultura"," I Animales vivos; productos animales","0.730394","1234","Creció mucho / Creció","4301511.521858","51448.656250","0.053288","2.374142","0.218150","0","1.778569","1.506394","0.993008","Objetivos factibles","15411","150","0.095963"
"20329","Other pork, frozen","Las demas carnes de porcino, congeladas.","Agricultura"," I Animales vivos; productos animales","0.699375","1279","Creció mucho / Creció mucho","82560528.319672","1318865.187500","0.130712","1.443053","0.605702","0","1.201215","1.084980","0.880326","","15411","150","0.095963"
"20410","Lamb carcasses","Canales o medios canales de cordero, frescos o refrigerados.","Agricultura"," I Animales vivos; productos animales","-0.980285","3794","Creció / Creció","6572914.931694","0.000000","0.000000","1.703048","-1.053253","0","0.883455","0.477306","-0.208121","","15411","150","0.095963"
"20421","Sheep carcasses","Las demas carnes de ovinos, en canales o medios canales, frescas o ref","Agricultura"," I Animales vivos; productos animales","-1.151394","3986","Creció / Se mantuvo","2672355.502732","0.000000","0.000000","1.458915","-0.987998","0","0.708502","0.325125","-0.294773","","15411","150","0.095963"
"20422","Mutton, bone-in","Los demas cortes de ovinos, sin deshuesar, frescos o refrigerados.","Agricultura"," I Animales vivos; productos animales","-1.099071","3938","Creció / Decreció","7565084.907104","0.000000","0.000000","2.037110","-2.744114","0","0.767247","0.214568","-0.898486","","15411","150","0.095963"
"20423","Mutton, boneless","Las demas carnes de ovinos, deshuesadas, frescas o refrigeradas.","Agricultura"," I Animales vivos; productos animales","0.325353","1911","Creció / Se mantuvo","3357989.322404","0.000000","0.000000","2.238486","-2.968307","0","1.005814","0.554161","-0.582854","","15411","150","0.095963"
"20430","Lamb carcasses, frozen","Carne de cordero congelada, en canales o medios canales","Agricultura"," I Animales vivos; productos animales","-0.930832","3733","Decreció / Decreció","-2257556.565574","0.000000","0.000000","3.686861","-1.283229","0","2.231074","1.520800","0.295897","Oportunidades cercanas, Objetivos factibles","15411","150","0.095963"
